area,category,sub_category,target,report_section,report_order
DONATIONS,General,â€“,550000,,
DONATIONS,Campaigns,Live Music,,,
DONATIONS,Campaigns,New Works,,,
DONATIONS,Campaigns,Costume Campaign,350000,,
DONATIONS,Campaigns,Provincial Touring,,,
DONATIONS,Campaigns,Community Ticket Program,,,
DONATIONS,Campaigns,Growing Up Strong,,,
DONATIONS,Campaigns,Scholarships,48400,,
DONATIONS,Campaigns,Endowment,,,
DONATIONS,Membership,Dance Circle,350000,,
DONATIONS,Fundraising,Raffles,35000,,
DONATIONS,Fundraising,Casino,75000,,
DONATIONS,Fundraising,Special Event Tickets,,,
TICKET SALES,Subscriptions,Subs - YYC,1186260,,
TICKET SALES,Subscriptions,Subs - YEG,517200,,
TICKET SALES,Single & Group Tickets,Once Upon a Time - YYC,381710,,
TICKET SALES,Single & Group Tickets,Once Upon a Time - YEG,267140,,
TICKET SALES,Single & Group Tickets,Nijinsky - YYC,214700,,
TICKET SALES,Single & Group Tickets,Nijinsky - YEG,136800,,
TICKET SALES,Single & Group Tickets,Nutcracker - YYC,2493845,,
TICKET SALES,Single & Group Tickets,Nutcracker - YEG,1197000,,
TICKET SALES,Single & Group Tickets,Winter Gala - YYC,115900,,
TICKET SALES,Single & Group Tickets,Winter Gala - YEG,82935,,
TICKET SALES,Single & Group Tickets,Romeo & Juliet - YYC,410875,,
TICKET SALES,Single & Group Tickets,Romeo & Juliet - YEG,294785,,
TICKET SALES,Single & Group Tickets,Swan Lake - YYC,621115,,
TICKET SALES,Single & Group Tickets,Swan Lake - YEG,475410,,
TICKET SALES,Single & Group Tickets,Notre Dame de Paris - YYC,345990,,
TICKET SALES,Single & Group Tickets,Notre Dame de Paris - YEG,262390,,
TICKET SALES,Year End Performance,Year End Performance - OD - YYC,43212,,
TICKET SALES,Year End Performance,Year End Performance - PD - YYC,27688,,
TICKET SALES,Year End Performance,Year End Performance - YEG,14611,,
GRANTS,Government,AFA,1407898,,
GRANTS,Government,Canada Council,622685,,
GRANTS,Government,Alberta Education,241335.91,,
GRANTS,Government,CADA,431426,,
GRANTS,Government,EAC ,248100,,
GRANTS,Government,CATF,200000,,
GRANTS,Government,Grants - Federal,141830,,
GRANTS,Private Foundations,Foundations,300000,,
GRANTS,Private Foundations,RBC Foundation - apprentice,30000,,
GRANTS,Private Foundations,Scholarship / Mental Health,50000,,
SPONSORSHIPS,Marketing Partnerships,Corporate Sponsors @ Productions,57000,,
SPONSORSHIPS,Marketing Partnerships,"BoD, Dev Comm (6 x $17,000)",102000,,
SPONSORSHIPS,Gifts-in-Kind,Legal (= legal expenses),53360,,
SPONSORSHIPS,Gifts-in-Kind,New Initiative 2025 (Oct - May),100000,,
COMMUNITY,Recreational Classes,Recreational Classes - YYC,850349,,
COMMUNITY,Recreational Classes,Discounts - YYC,-15022,,
COMMUNITY,Recreational Classes,Recreational Classes - YEG,424302,,
COMMUNITY,Recreational Classes,Discounts - YEG,-11968,,
COMMUNITY,Adult Classes,Adult Classes - YYC,108686,,
COMMUNITY,Adult Classes,Adult Classes - YEG,77770,,
COMMUNITY,Summer Classes,Summer Classes - YYC,70000,,
COMMUNITY,Summer Classes,Summer Classes - YEG,50000,,
COMMUNITY,Summer Classes,Summer Satellites,28800,,
COMMUNITY,Provincial Affiliates,Provincial Affiliates - South,48545.55721,,
COMMUNITY,Provincial Affiliates,Provincial Affiliates - North,29961.44279,,
SCHOOL,Alberta Students,Residence,0,,
SCHOOL,Alberta Students,Tuition,631800,,
SCHOOL,Alberta Students,Staff Discounts - Tuition,,,
SCHOOL,Canadian Students ,Residence,80873,,
SCHOOL,Canadian Students ,Tuition,177450,,
SCHOOL,International Students,Residence,855789,,
SCHOOL,International Students,Tuition,796224,,
SCHOOL,Post Secondary Students,Residence,78000,,
SCHOOL,Post Secondary Students,Tuition,452400,,
SCHOOL,Summer School,Program 1 Residence,96330,,
SCHOOL,Summer School,Program 1 Tuition,210921,,
SCHOOL,Summer School,Program 2 Residence,120412.5,,
SCHOOL,Summer School,Program 2 Tuition,219886,,
SCHOOL,Artistic Only Students,Alberta Students,,,
SCHOOL,Artistic Only Students,Domestic Students ,,,
SCHOOL,Artistic Only Students,International Students ,49920,,
SCHOOL,Scholarships,Professional Division,-281000,,
SCHOOL,Scholarships,Post Secondary,-81000,,
